,architecture,downstream,pre-training,number_of_samples,model_name,f1_macro_mean,f1_macro_std,f1_macro_count
268,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,30,knn,0.5705625906771149,0.06181172310338008,100
269,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,30,lr,0.5730114702729953,0.053356717861333024,100
270,ViT_T16,DDI,ImageNet_1k_SSL_Dino,1,dc,0.4260869565217391,0.0,100
271,ViT_T16,DDI,ImageNet_1k_SSL_Dino,1,knn,0.4658110321515281,0.09284550992081313,100
272,ViT_T16,DDI,ImageNet_1k_SSL_Dino,1,lr,0.46832795017552553,0.09330967327194363,100
273,ViT_T16,DDI,ImageNet_1k_SSL_Dino,10,dc,0.4260869565217391,0.0,100
274,ViT_T16,DDI,ImageNet_1k_SSL_Dino,10,knn,0.5330877667924276,0.07346177723954295,100
275,ViT_T16,DDI,ImageNet_1k_SSL_Dino,10,lr,0.5290440375959469,0.056052938523847205,100
276,ViT_T16,DDI,ImageNet_1k_SSL_Dino,100,dc,0.4260869565217391,0.0,100
277,ViT_T16,DDI,ImageNet_1k_SSL_Dino,100,knn,0.5884811965852406,0.045538999219340646,100
278,ViT_T16,DDI,ImageNet_1k_SSL_Dino,100,lr,0.5955987407401306,0.05742253061421297,100
279,ViT_T16,DDI,ImageNet_1k_SSL_Dino,3,dc,0.4260869565217391,0.0,100
280,ViT_T16,DDI,ImageNet_1k_SSL_Dino,3,knn,0.5106036631076808,0.08410358023856213,100
281,ViT_T16,DDI,ImageNet_1k_SSL_Dino,3,lr,0.5058456831237348,0.08010226496526861,100
282,ViT_T16,DDI,ImageNet_1k_SSL_Dino,30,dc,0.4260869565217391,0.0,100
283,ViT_T16,DDI,ImageNet_1k_SSL_Dino,30,knn,0.5557265132723989,0.0550245051059,100
284,ViT_T16,DDI,ImageNet_1k_SSL_Dino,30,lr,0.567583447647758,0.06889164564730896,100
285,ViT_T16,DDI,ImageNet_AugReg,1,dc,0.4260869565217391,0.0,100
286,ViT_T16,DDI,ImageNet_AugReg,1,knn,0.4418233021128654,0.08280082850667216,100
